CountryName,CountryCode,Region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Population,GDPOf2019,GDPPerCapita2019,RankOf2021
Mexico,MEX,North America,5.17,4.89,4.91,4.81,4.31,3.86,3.42,3.28,3.48,4.45,4.38,"126,014,024",1.26E+12,9985.29,135
Moldova,MDA,Europe,6.68,5.58,5.1,3.73,4.7,4.02,4.1,4.11,5.1,3.82,3.96,"2,657,637",11955435457,4498.52,145
Mongolia,MNG,Asia,4.77,3.9,4.23,4.8,4.86,7.24,6.36,5.38,5.44,7.01,7.08,"3,225,167",13852850259,4295.24,82
Montenegro,MNE,Europe,19.67,19.97,19.5,18,17.54,17.72,16.07,15.17,15.12,17.9,18.49,"622,137",5494736901,8832.04,14
Morocco,MAR,Africa,8.91,8.99,9.23,9.7,9.46,9.3,9.24,9.27,9.28,11.45,11.47,"36,910,560",1.19E+11,3216.57,41
Mozambique,MOZ,Africa,3.26,3.3,3.34,3.38,3.43,3.45,3.45,3.46,3.47,3.81,3.98,"30,366,036",14934159926,491.8,143
Myanmar,MMR,Asia,0.77,0.75,0.75,0.75,0.77,1.18,1.56,0.87,0.5,1.06,2.17,"54,045,420",76085852617,1407.81,170
Namibia,NAM,Africa,19.46,16.77,19.03,18.52,20.91,23.35,21.64,19.88,19.99,21.45,21.68,"2,494,530",12366527719,4957.46,8
Nepal,NPL,Asia,2.03,2.33,2.55,2.94,3.1,2.87,3.32,3.19,3.1,4.72,5.05,"28,608,710",30641380604,1071.05,119
Netherlands,NLD,Caribbean,4.98,5.82,7.24,7.42,6.87,6.01,4.84,3.83,3.38,3.82,4.01,"17,332,850",9.09E+11,52447.83,141
New Caledonia,NCL,Oceania,14.07,14.35,14.47,14.59,14.73,14.69,14.78,14.85,14.91,16.43,16.57,"287,800",2682347064,9320.18,18
New Zealand,NZL,Oceania,6.49,6.93,5.84,5.43,5.41,5.15,4.74,4.33,4.11,4.59,4.12,"4,841,000",2.07E+11,42745.05,138
Nicaragua,NIC,Central America,6.5,5.21,5.28,4.52,4.7,3.9,3.3,5.2,5.21,6.08,5.96,"6,545,502",12520915291,1912.9,100
Niger,NER,Africa,0.32,2.18,1.37,0.52,0.53,0.53,0.54,0.55,0.55,0.62,0.75,"23,310,715",12928145120,554.6,180
Nigeria,NGA,Africa,3.77,3.74,3.7,4.56,4.31,7.06,8.39,8.46,8.53,9.71,9.79,"200,963,599",4.48E+11,2229.86,53
North Korea,PRK,Asia,2.78,2.81,2.8,2.74,2.74,2.76,2.7,2.63,2.59,2.92,2.59,"25,666,161",32100000000,1250.67,166
Norway,NOR,Europe,3.21,3.12,3.42,3.48,4.3,4.68,4.16,3.8,3.69,4.42,4.99,"5,347,896",4.03E+11,75419.63,122
Oman,OMN,Asia,3.87,3.68,3.62,3.54,3.39,3.27,2.57,1.8,1.85,2.94,3.12,"5,266,535",76983094928,14617.41,158
Pakistan,PAK,Asia,0.8,1.85,2.95,1.83,3.57,3.78,3.92,4.08,3.54,4.3,4.35,"216,565,318",3.04E+11,1405.58,136
Panama,PAN,Central America,2.38,2.39,2.29,2.71,2.98,3.26,3.86,3.83,4.73,12.85,12.09,"4,246,439",66800800000,15731.02,39
Papua New Guinea,PNG,Oceania,2.62,2.54,2.55,2.38,2.48,2.48,2.51,2.56,2.45,2.6,2.75,"8,776,109",24969611435,2845.18,164
Paraguay,PRY,South America,4.67,4.09,4.38,5.03,4.56,5.25,4.61,6.22,6.59,7.55,7.21,"7,044,636",38145288940,5414.8,80
Peru,PER,South America,3.48,3.24,3.57,3.21,3.27,3.74,3.69,3.49,3.38,7.18,4.83,"32,510,453",2.27E+11,6977.7,124
Philippines,PHL,Asia,3.59,3.5,3.5,3.6,3.07,2.7,2.55,2.34,2.24,2.52,2.41,"108,116,615",3.77E+11,3485.08,168
Poland,POL,Europe,9.63,10.09,10.33,8.99,7.5,6.16,4.89,3.85,3.28,3.16,3.37,"37,970,874",5.92E+11,15595.23,156
Portugal,PRT,Europe,12.68,15.53,16.18,13.89,12.44,11.07,8.87,6.99,6.46,6.79,6.65,"10,269,417",2.38E+11,23145.04,87
